Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,39,2023-01-04,28-036,NYK,,SAS,W (+3),1,41:03,9,26,.346,1,8,.125,6,11,.545,2,11,13,3,3,4,5,4,25,14.4,+9
40,40,2023-01-06,28-038,NYK,@,TOR,W (+4),1,39:44,10,22,.455,6,11,.545,6,9,.667,1,10,11,3,0,0,3,3,32,21.0,+2
41,41,2023-01-09,28-041,NYK,,MIL,L (-4),1,39:46,9,29,.310,1,12,.083,6,7,.857,7,9,16,5,2,0,3,3,25,16.8,+2
42,42,2023-01-11,28-043,NYK,,IND,W (+6),1,38:33,5,12,.417,2,7,.286,2,4,.500,3,13,16,4,0,1,6,2,14,9.5,+9
43,43,2023-01-13,28-045,NYK,@,WAS,W (+4),1,35:48,8,19,.421,2,6,.333,5,8,.625,3,13,16,1,0,1,3,2,23,15.3,+12
44,44,2023-01-15,28-047,NYK,@,DET,W (+13),1,40:08,15,24,.625,4,7,.571,8,8,1.000,3,12,15,4,0,1,1,4,42,37.8,+14
45,45,2023-01-16,28-048,NYK,,TOR,L (-2),1,42:00,7,20,.350,1,6,.167,6,9,.667,3,12,15,8,1,0,3,3,21,16.7,+1
46,46,2023-01-18,28-050,NYK,,WAS,L (-11),1,34:04,6,17,.353,0,5,.000,2,5,.400,7,8,15,4,1,0,2,5,14,10.4,-11
47,47,2023-01-20,28-052,NYK,@,ATL,L (-15),1,33:18,11,22,.500,3,10,.300,7,9,.778,1,8,9,6,0,0,3,1,32,24.1,-12
48,48,2023-01-22,28-054,NYK,@,TOR,L (-9),1,37:29,8,14,.571,2,6,.333,5,8,.625,5,14,19,8,0,0,4,5,23,22.5,-4
49,49,2023-01-24,28-056,NYK,,CLE,W (+2),1,37:38,11,21,.524,8,12,.667,6,7,.857,4,9,13,4,0,0,5,3,36,27.4,-10
50,50,2023-01-26,28-058,NYK,@,BOS,W (+3),1,36:54,13,25,.520,5,13,.385,6,7,.857,1,8,9,2,0,0,2,5,37,24.8,-16
51,51,2023-01-28,28-060,NYK,@,BRK,L (-7),1,38:14,7,16,.438,1,6,.167,4,6,.667,2,8,10,8,1,0,3,2,19,16.4,+6
52,52,2023-01-31,28-063,NYK,,LAL,L (-6),1,43:01,6,19,.316,2,9,.222,9,11,.818,2,10,12,5,0,0,4,4,23,13.6,-9
53,53,2023-02-02,28-065,NYK,,MIA,W (+2),1,34:20,8,19,.421,3,9,.333,4,5,.800,1,9,10,6,3,0,7,4,23,14.5,+14
54,54,2023-02-04,28-067,NYK,,LAC,L (-6),1,40:44,10,18,.556,2,6,.333,6,8,.750,0,11,11,7,1,0,5,5,28,20.8,-11
55,55,2023-02-05,28-068,NYK,,PHI,W (+11),1,34:08,8,19,.421,1,8,.125,7,8,.875,4,5,9,7,0,0,3,2,24,18.9,-6
56,56,2023-02-07,28-070,NYK,@,ORL,W (+4),1,34:06,7,15,.467,4,10,.400,4,6,.667,1,13,14,6,0,0,4,2,22,17.5,+9
57,57,2023-02-10,28-073,NYK,@,PHI,L (-11),1,36:33,11,20,.550,5,11,.455,3,3,1.000,0,10,10,3,0,0,3,1,30,22.1,-6
58,58,2023-02-11,28-074,NYK,,UTA,W (+6),1,38:58,12,26,.462,3,11,.273,4,5,.800,1,5,6,2,0,0,1,2,31,19.0,+4
59,59,2023-02-13,28-076,NYK,,BRK,W (+18),1,32:20,7,17,.412,1,6,.167,3,3,1.000,0,10,10,4,1,1,1,1,18,15.0,+14
60,60,2023-02-15,28-078,NYK,@,ATL,W (+21),1,34:50,9,19,.474,3,8,.375,4,5,.800,3,8,11,2,0,0,3,4,25,16.2,+20
